Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
GREENSILL CAPITAL MANAGEMENT COMPANY (UK) LIMITED,No,No,No,No,No,M1 4PB,8037769,64999,31/12/2019,"Active, in administration",,,,,,,,,GREENSILL CAPITAL PTY LIMITED,14,,10,,,,100,1,,,28.07,132.47,,,,,,1.02,1.02,,2.56,2.63,,,"5,848",0,,,0,,,,,,,,2016,D
GRWP WRW CYF,No,No,No,No,No,M1 4PB,3523416,41201,31/12/2019,"Active, in administration",,,,,,,,,GRWP WRW CYF,17,20.22,44,18.23,3.5,1.31,6.59,1,1.42,2.27,13.94,16.17,11.99,46.69,4.67,78.2,44.83,1.03,0.96,9.17,17.31,20.94,38.17,"6,216","30,742",1,0,0,,-1,,,,0,1,68.18,2016,D
TS WHOLESALE REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,8458338,70100,01/09/2018,"Active, in administration",,,,,,,,,GH ONE LIMITED,32,59.19,42,59.19,59.19,44.93,46.61,28,44.93,,1.32,,,,11.96,30.51,,,,,100,,,,,,,,,,,,,,,,2016,D
SVS SECURITIES PLC,No,No,No,No,No,M3 5EN,4402606,66120,30/06/2018,"Active, in administration",,,,,,,,,,13,7.36,31,5.83,2.02,0.86,13.47,1,1.01,1.73,6.78,19.27,3.84,,147.88,2.47,21.67,1.34,1.34,3.79,27.46,37.85,32.47,"5,482","74,441",5,0,0,,0,,,,0,4,15.52,2016,D
STONEWELL PROPERTY COMPANY LIMITED,No,No,No,No,No,LS1 4DL,2327137,41100,31/12/2017,"Active, in administration",,,,,,,,,STONEWELL PROPERTY COMPANY LIMITED,36,14.97,45,9.67,3.55,2.86,2.82,1,-0.09,0.24,3.38,3.2,5.34,2.71,43.38,8.41,82.87,0.97,0.24,1.82,23.75,31.15,176.67,"13,792","92,157",2,0,,,2,,-2,,-2,0,8.09,2016,D
BRIDGESTREET ACCOMMODATIONS LONDON LIMITED,No,No,No,No,No,L2 5RH,3418582,68320,31/12/2018,"Active, in administration",,,,,,,,,DOMUS BWW GROUP LLC,11,-26.03,50,-22.92,-10.2,-2.35,18.23,1,-2.35,-2.01,9.76,86.65,,,13.5,27.04,24.88,1.71,1.71,7.37,39.18,64.43,13.56,"-6,356","24,417",-1,0,0,,0,,,,,-1,,2016,D
INTU MANAGEMENT SERVICES LIMITED,No,No,No,No,No,EC4M 7QS,4251697,70100,31/12/2018,"Active, in administration",,,,,,,,,1997 BILLOWN SETTLEMENT TRUST,2,10.42,39,10.42,0.32,0.02,0.02,,0.02,,687.94,,,,,,,1.03,1.03,,3.11,3.22,364.58,14,132,,,,,,,,,,,,2016,D
ER TRAVEL SERVICES LTD,No,No,No,No,No,LS1 4DL,6895847,77110,30/11/2018,"Active, in administration",,,,,,,,,MR NICHOLAS EDWARD HANLEY,5,89.04,23,67.37,36.13,7.04,42.39,1,7.03,9.16,9.58,16.32,,,61.63,5.92,20.76,1.48,1.48,3.11,40.58,68.28,48.52,"8,914","10,012",2,0,0,,1,,0,,-1,1,10.05,2016,D
J ROTHERHAM (HOLDINGS) LIMITED,No,No,No,No,No,LS1 4JF,3099338,23700,30/04/2018,"Active, in administration",,,,,,,,,J ROTHERHAM (HOLDINGS) LIMITED,11,27.13,23,23.13,12.87,6.54,36.58,1,6.77,9.16,3.54,4.06,27.44,9.05,13.05,27.96,45.95,1.16,0.67,5.79,47.45,90.28,28.5,"9,035","33,305",3,0,0,,-1,,0,,0,1,15.69,2016,D
MCMILLAN WILLIAMS SOLICITORS LTD,No,No,No,No,No,BN1 4EA,8718037,69102,30/04/2019,"Active, in administration",,,,,,,,,AIIC HOLDINGS LIMITED,20,13.82,37,6.01,3.51,2.83,97.34,1,2.18,5.69,2.12,6.37,2.4,,,,7.22,1.94,1.94,0.77,25.41,34.07,200.73,"1,985","14,359",-3,,,,-2,,,,5,1,3.03,2016,D
