,Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Year,Final credit score,Credit Group
0,GREENSILL CAPITAL MANAGEMENT COMPANY (UK) LIMITED,No,No,No,No,No,M1 4PB,8037769,64999,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,GREENSILL CAPITAL PTY LIMITED,14,1.0,10,15.42,0.21,100.0,100.0,1,4.76,2.63,28.07,132.47,1.0,3.58,4.27,1.13,1.0,1.02,1.02,0.0,2.56,2.63,0.0,0,"5,848",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
1,GRWP WRW CYF,No,No,No,No,No,M1 4PB,3523416,41201,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,GRWP WRW CYF,17,20.22,44,18.23,3.5,1.31,6.59,1,1.42,2.27,13.94,16.17,11.99,46.69,4.67,78.2,44.83,1.03,0.96,9.17,17.31,20.94,38.17,"6,216","30,742",1.0,0.0,-1.0,0.0,1.0,2016,99.0,3
2,TS WHOLESALE REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,8458338,70100,01/09/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,GH ONE LIMITED,32,59.19,42,59.19,59.19,44.93,46.61,28,44.93,2.63,1.32,1.0,1.0,3.58,11.96,30.51,1.0,1.03,1.02,0.0,100.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
3,SVS SECURITIES PLC,No,No,No,No,No,M3 5EN,4402606,66120,30/06/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,13,7.36,31,5.83,2.02,0.86,13.47,1,1.01,1.73,6.78,19.27,3.84,3.58,147.88,2.47,21.67,1.34,1.34,3.79,27.46,37.85,32.47,"5,482","74,441",5.0,0.0,0.0,0.0,4.0,2016,99.0,3
4,STONEWELL PROPERTY COMPANY LIMITED,No,No,No,No,No,LS1 4DL,2327137,41100,31/12/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,STONEWELL PROPERTY COMPANY LIMITED,36,14.97,45,9.67,3.55,2.86,2.82,1,-0.09,0.24,3.38,3.2,5.34,2.71,43.38,8.41,82.87,0.97,0.24,1.82,23.75,31.15,176.67,"13,792","92,157",2.0,0.0,2.0,-2.0,0.0,2016,99.0,3
5,BRIDGESTREET ACCOMMODATIONS LONDON LIMITED,No,No,No,No,No,L2 5RH,3418582,68320,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,DOMUS BWW GROUP LLC,11,-26.03,50,-22.92,-10.2,-2.35,18.23,1,-2.35,-2.01,9.76,86.65,1.0,3.58,13.5,27.04,24.88,1.71,1.71,7.37,39.18,64.43,13.56,"-6,356","24,417",-1.0,0.0,0.0,0.0,-1.0,2016,99.0,3
6,INTU MANAGEMENT SERVICES LIMITED,No,No,No,No,No,EC4M 7QS,4251697,70100,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,1997 BILLOWN SETTLEMENT TRUST,2,10.42,39,10.42,0.32,0.02,0.02,1,0.02,2.63,687.94,1.0,1.0,3.58,4.27,1.13,1.0,1.03,1.03,0.0,3.11,3.22,364.58,14,132,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
7,ER TRAVEL SERVICES LTD,No,No,No,No,No,LS1 4DL,6895847,77110,30/11/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR NICHOLAS EDWARD HANLEY,5,89.04,23,67.37,36.13,7.04,42.39,1,7.03,9.16,9.58,16.32,1.0,3.58,61.63,5.92,20.76,1.48,1.48,3.11,40.58,68.28,48.52,"8,914","10,012",2.0,0.0,1.0,-1.0,1.0,2016,99.0,3
8,J ROTHERHAM (HOLDINGS) LIMITED,No,No,No,No,No,LS1 4JF,3099338,23700,30/04/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,J ROTHERHAM (HOLDINGS) LIMITED,11,27.13,23,23.13,12.87,6.54,36.58,1,6.77,9.16,3.54,4.06,27.44,9.05,13.05,27.96,45.95,1.16,0.67,5.79,47.45,90.28,28.5,"9,035","33,305",3.0,0.0,-1.0,0.0,1.0,2016,99.0,3
9,MCMILLAN WILLIAMS SOLICITORS LTD,No,No,No,No,No,BN1 4EA,8718037,69102,30/04/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,AIIC HOLDINGS LIMITED,20,13.82,37,6.01,3.51,2.83,97.34,1,2.18,5.69,2.12,6.37,2.4,3.58,4.27,1.13,7.22,1.94,1.94,0.77,25.41,34.07,200.73,"1,985","14,359",-3.0,0.0,-2.0,5.0,1.0,2016,99.0,3
10,PORTBOND LIMITED,No,No,No,No,No,M1 4PB,6840851,38320,31/10/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,PORTBOND LIMITED,20,19.45,16,11.31,7.86,9.81,20.41,1,10.66,14.75,1.15,1.51,13.27,3.37,5.47,66.76,44.47,1.53,0.75,1.39,40.39,67.75,89.84,"30,866","158,685",-2.0,0.0,0.0,4.0,1.0,2016,99.0,3
11,THE ON-SITE GROUP LIMITED,No,No,No,No,No,SO14 2AQ,6912781,78200,31/03/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,6,-429.44,19,-421.78,-5.05,-1.49,10.82,1,-1.49,-1.28,282.15,247.21,1.0,3.58,4.27,85.4,12.89,1.0,1.0,55.01,1.18,1.19,1.82,"-2,817",656,1.0,0.0,0.0,0.0,0.0,2016,99.0,3
12,HOMESTYLE GROUP OPERATIONS LIMITED,No,No,No,No,No,LS1 4DL,3130486,70100,29/09/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,STEINHOFF INTERNATIONAL HOLDINGS N.V.,15,0.19,42,0.19,0.19,0.09,0.09,1,0.09,2.63,2.19,2.21,1.0,3.58,4.27,1.13,1.0,2.07,2.07,0.0,99.48,1.0,0.48,"28,800",0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
13,TRADEWISE GROUP OF COMPANIES LIMITED,No,No,No,No,No,NW1 1DB,8787722,64205,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR JAMES HUMPHREYS,29,1.0,25,-375.37,-14.35,-16.2,56.27,1,-8.64,-1.44,23.17,2.19,-4.34,3.58,5.65,64.57,174.31,0.62,0.62,-0.92,-42.59,1.0,0.0,"-22,341",0,5.0,0.0,-1.0,-1.0,3.0,2016,99.0,3
14,BD PROPCO REALISATIONS LIMITED,No,No,No,No,No,B3 3HN,4464946,68201,01/09/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,GH ONE LIMITED,3,1.0,13,22.36,8.24,1.81,1.81,1,1.81,4.21,12.33,17.44,1.0,3.58,238.5,1.53,21.56,1.17,1.17,-0.23,-11.26,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
15,BONDSHOLD LIMITED,No,No,No,No,No,B3 3HN,7340819,24520,30/09/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR PAUL DUNCAN,18,-14.54,17,-10.52,-5.25,-5.63,1.0,1,-4.46,-5.08,1.87,2.12,-3.81,4.77,3.57,102.36,82.8,1.12,0.73,2.62,36.11,56.53,40.08,"-3,666","25,205",0.0,0.0,0.0,1.0,0.0,2016,99.0,3
16,ASHLEY HOUSE PLC.,No,No,No,No,No,LS1 2HJ,2563627,41100,30/04/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,ASHLEY HOUSE PLC.,15,6.29,27,5.32,2.09,1.16,23.11,1,3.53,3.81,4.58,6.75,1.49,7.39,3.82,95.49,37.81,1.21,0.81,5.49,33.27,49.86,56.9,"8,580","136,454",0.0,0.0,0.0,-1.0,-1.0,2016,99.0,3
17,OASIS FASHIONS RETAIL LIMITED,No,No,No,No,No,B3 3HN,6822670,70100,02/03/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,KAUPTHING EHF.,8,1.0,25,15.42,0.21,100.0,1.0,1,4.76,2.63,5.16,8.91,1.0,3.58,4.27,1.13,1.0,1.62,1.62,4.43,48.44,93.94,22.58,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
18,WREXHAM WIRE LIMITED,No,No,No,No,No,M2 4AB,8869479,64999,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR JAMIE CHRISTOPHER CONSTABLE,6,-20.81,15,-4.88,-1.21,-0.62,37.48,1,1.34,3.46,7.86,3.91,0.68,11.93,6.76,53.99,32.66,0.67,0.45,0.31,5.79,6.15,0.0,"-1,015","4,878",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
